arrival_time,start_service,end_service,wait_time,total_time
0.7375140096707472,0.7375140096707472,1.6818360559678736,0.0,0.9443220462971263
1.3357421252094008,1.3357421252094008,5.270897853349852,0.0,3.935155728140451
1.4263094343426972,1.4263094343426972,2.9993177756267775,0.0,1.5730083412840803
2.0844966079992533,2.0844966079992533,2.8865470493232697,0.0,0.8020504413240164
2.3855270725932103,2.8865470493232697,3.304647095222677,0.5010199767300594,0.9191200226294667
2.5856703969176196,2.9993177756267775,3.105510556742663,0.4136473787091579,0.5198401598250433
3.1605365522898565,3.1605365522898565,4.487126361855858,0.0,1.3265898095660016
3.973760565023788,3.973760565023788,4.836047654800589,0.0,0.8622870897768005
9.986023687324872,9.986023687324872,19.48287814438992,0.0,9.49685445706505
11.44708960113119,11.44708960113119,13.572013436455066,0.0,2.1249238353238766
11.453142205909439,11.453142205909439,11.505771110603208,0.0,0.05262890469376913
12.198570130802842,12.198570130802842,14.068924309612047,0.0,1.8703541788092046
13.492613501980227,13.572013436455066,14.106088823692348,0.07939993447483928,0.6134753217121212
13.831316820069357,14.068924309612047,16.094240108168204,0.23760748954268962,2.262923288098847
15.805359029537396,15.805359029537396,27.707858478769015,0.0,11.90249944923162
19.310344014262608,19.310344014262608,19.994075890589055,0.0,0.6837318763264477
19.852275236477098,19.852275236477098,20.57862630267375,0.0,0.7263510661966528
20.562038743987905,20.562038743987905,22.382016124342506,0.0,1.8199773803546009
20.61334959607289,20.61334959607289,20.67602868047334,0.0,0.06267908440045034
21.17850554707809,21.17850554707809,24.15959428392128,0.0,2.9810887368431906
23.67377302004976,23.67377302004976,27.774081560263642,0.0,4.100308540213881
23.80672658617368,24.15959428392128,27.034827992681983,0.3528676977475982,3.2281014065083014
24.76099826558531,27.034827992681983,27.800657066398475,2.273829727096672,3.0396588008131644
26.525386727249444,27.707858478769015,30.427131341944378,1.1824717515195715,3.901744614694934
30.804375709831657,30.804375709831657,32.64098731971369,0.0,1.8366116098820306
31.363759016178303,31.363759016178303,33.427381577266246,0.0,2.063622561087943
32.78986343369502,32.78986343369502,37.52610976890924,0.0,4.736246335214219
33.35476038984212,33.35476038984212,34.57217644703276,0.0,1.2174160571906398
39.52230853873495,39.52230853873495,44.082078275762534,0.0,4.559769737027587
40.18351902238967,40.18351902238967,40.25033781563524,0.0,0.06681879324557372
41.46636667336775,41.46636667336775,44.25880015200819,0.0,2.79243347864044
42.50084419316363,42.50084419316363,47.92909409848134,0.0,5.428249905317713
42.51867146619807,44.082078275762534,53.16259128962964,1.5634068095644622,10.643919823431567
42.833939778305606,44.25880015200819,45.12865097209886,1.424860373702586,2.2947111937932547
42.884497424761626,45.12865097209886,45.494257064564955,2.244153547337234,2.609759639803329
